Date,Onion,Tomato,Capsicum,Carrot,Ladies Finger,Pumpkin Green,Cucumber,Potato,Drumstick,Coriander Leaves,Beetroot,Cabbage,Cauliflower,Sweet Corn,Brinjal,Bottle Gourd,Ridge Gourd,Radish,Palak,Turnip,Sweet Potato,Yam,Green Peas,Ash Gourd/ Ash Pumpkin,Chow Chow,Coccinia,Beans,Baby Corn,Knol Khol,Toor Dal,Whole Moong,Channa Dal,Brown Chana,Sona Masoori Raw Rice,Wheat Flour 10kg,Paneer,Soya Chunks,"Wheat - Whole, 5 kg Bag",Masoor Dal,White lobia,Moong Dal(2kg),Urad Dal,Rajma,Peanuts,Horse Gram
01-01-2021,5.6,2.6,7.4,6.4,7,8.4,4,5.6,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
02-01-2021,6,2.6,7.4,6.4,7,8.4,4,6,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
03-01-2021,5.6,2.4,7.4,6.4,6.8,8.4,4,5.6,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
04-01-2021,5.5,2.626,7.5,6.5,5.5,3.75,2.5,5,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
06-01-2021,5.25,2.5,7,5.5,6,3.75,2.25,5,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
07-01-2021,5.25,2.5,7,5.5,6,3.75,2.25,5,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
08-01-2021,5.25,2.5,7.5,5,9,3.75,2.5,4.875,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
09-01-2021,5.25,2.5,7.5,5,9,3.75,2.5,4.875,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
10-01-2021,5.25,2.5,7.5,4.5,6.5,4,2.5,4.25,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
11-01-2021,5.25,2.5,7.5,4.5,6.5,4,2.5,4.25,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
12-01-2021,5.5,3.5,7.5,3.75,6.5,4,2.75,4.875,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
13-01-2021,5.75,2.75,7.5,3.752,6.25,4.25,3.25,4.875,25.75,20,3.75,1.625,2.375,18,7.25,3,10.5,4,10.5,15.5,7.25,9.75,5.624,8.75,2.5,7.5,12.5,8,4.5,16,18,17.5,13,7,4.9,49.5,17.5,5.5,16,16.9,19,20,20,22,20
